date,identifier,tweets
2022-01-17 21:00:00+00:00,c,REMINDER: $GS earnings will be released tomorrow on this account at 7:25AM ET. Check back here for the full release.
2022-01-17 17:00:17+00:00,c,".@annas_tea_, author of “The Three Mothers,” reflects on how Martin Luther King, Jr.’s mother, Alberta, viewed her son’s role in the world: https://t.co/JCALbi7X7D #TalksAtGS https://t.co/iDaFbVSt9R"
2022-01-17 08:28:14+00:00,c,"Watch Hui Shan, $GS' chief China economist, discuss the limitations of monetary easing and why we think fiscal stimulus will be necessary to boost domestic demand on @CNBC: https://t.co/iQeBkHVyK3"
2022-01-16 16:00:14+00:00,c,".@coalitionbuildr, CEO of the @NCBCP and convener of the @ncbcp_bwr, discusses the need for Black women to continue breaking down barriers: https://t.co/HeP3wi7Sbs #TalksAtGS https://t.co/LG2DkS5Wga"
2022-01-14 22:00:14+00:00,c,".@annas_tea_, author of “The Three Mothers,” discusses how Martin Luther King, Jr.’s mother, Alberta, prepared him to be a change agent: https://t.co/qWPPCa5zgH #TalksAtGS https://t.co/KXa1kYMjYp"
2022-01-14 19:27:04+00:00,c,"What’s next for M&amp;A? $GS' Stephan Feldgoise and Mark Sorrell explain the drivers behind the deal-making activity and the outlook for 2022. 

Check out the infographic and listen to their podcast episode here: https://t.co/dlZdcCJLgY"
2022-01-14 15:00:19+00:00,c,".@coalitionbuildr, CEO of the @NCBCP and convener of the @ncbcp_bwr, reflects on her years working for leaders of the Civil Rights Movement in Atlanta: https://t.co/MXbnAf8FRB #TalksAtGS https://t.co/G3UtjFnap8"
2022-01-14 08:16:26+00:00,c,"Watch Tim Moe, $GS' chief APAC equity strategist, discuss the outlook for Asian markets in the year of the tiger, and the sectors within the Chinese market where he sees most upside potential on @BloombergTV 
https://t.co/dirIo1m0gc https://t.co/uSS9jcE4CK"
2022-01-12 22:00:02+00:00,c,"After another outperforming year for US equities, has the time arrived to finally underweight them? Our Investment Strategy Group believes staying invested is warranted, despite such outsized returns. 

Read our report: https://t.co/Ma3igbqipA https://t.co/IFg1TVguKF"
2022-01-12 19:00:02+00:00,c,"Focused on the pillars of healthcare, housing, job creation and workforce development, education, financial health, and access to capital—this next round of funding will help accelerate the lasting change organizations are already making across the country."
2022-01-12 19:00:01+00:00,c,"Today, we announced our latest round of investments, partnerships, and grants from One Million Black Women. These commitments span key areas that have the potential to impact communities and uplift Black women. https://t.co/SBeKiPKRa4 #BlackWomenImpact https://t.co/6Sr7P5kLWy"
2022-01-12 18:00:16+00:00,c,.@Chime co-founder and CEO @chrisrbritt discusses plans to expand the company’s financial services: https://t.co/38B2v0ij5Y #TalksAtGS https://t.co/XS73yamjgt
2022-01-12 16:06:04+00:00,c,"We’re excited to support the launch of @TheKingCenter's reimagined Beloved Community Leadership Academy, which will create a One Million Black Women cohort for Black girls from across the country.
 
Check out the exclusive with @axios: https://t.co/xwQHqfJgOD"
2022-01-12 15:00:09+00:00,c,What are the real-world implications of the metaverse? $GS' Eric Sheridan explains how the growth of digital and virtual economies will shape industries and markets: https://t.co/FkYaEWrV46 https://t.co/tvSPfi0FNH
2022-01-11 22:30:07+00:00,c,"Proud to be a #JUST100 leader, demonstrating what it means to support our people, clients, communities, the environment, and shareholders over the past year. Thank you @justcapital_ and @CNBC for the recognition. 

See the 2022 rankings: https://t.co/yeNOjFW7QN https://t.co/d6qYssUzsX"
2022-01-11 21:18:32+00:00,c,We're happy to share more about the $25 million we led in Series B funding for @Wonderschools to tackle childcare challenges. 👇 https://t.co/FMmAOuMpG8 https://t.co/Gp2SSaLDt0
2022-01-11 19:53:44+00:00,c,"Sharon Bell, our senior European equity strategist, says $GS expects the Stoxx Europe 600 Index to deliver a 12% total return this year.  

Learn more about our research and insights: https://t.co/mOBESXBIfd"
